Dia do ano 	Nascer do sol	Por do sol									
01/01/2021	05:43	19:27									
02/01/2021	05:43	19:28									
03/01/2021	05:44	19:28									
04/01/2021	05:45	19:28									
05/01/2021	05:45	19:28									
06/01/2021	05:46	19:28									
07/01/2021	05:47	19:28									
08/01/2021	05:48	19:29									
09/01/2021	05:48	19:29									
10/01/2021	05:49	19:29									
11/01/2021	05:50	19:29									
12/01/2021	05:51	19:29									
13/01/2021	05:51	19:29									
14/01/2021	05:52	19:29									
15/01/2021	05:53	19:29									
16/01/2021	05:54	19:28									
17/01/2021	05:55	19:28									
18/01/2021	05:55	19:28									
19/01/2021	05:56	19:28									
20/01/2021	05:57	19:28									
21/01/2021	05:58	19:28									
22/01/2021	05:59	19:27									
23/01/2021	05:59	19:27									
24/01/2021	06:00	19:27									
25/01/2021	06:01	19:27									
26/01/2021	06:02	19:26									
27/01/2021	06:03	19:26									
28/01/2021	06:03	19:25									
29/01/2021	06:04	19:25									
30/01/2021	06:05	19:25									
31/01/2021	06:06	19:24									
01/02/2021	06:06	19:24									
02/02/2021	06:07	19:23									
03/02/2021	06:08	19:23									
04/02/2021	06:09	19:22									
05/02/2021	06:10	19:22									
06/02/2021	06:10	19:21									
07/02/2021	06:11	19:20									
08/02/2021	06:12	19:20									
09/02/2021	06:12	19:19									
10/02/2021	06:13	19:18									
11/02/2021	06:14	19:18									
12/02/2021	06:15	19:17									
13/02/2021	06:15	19:16									
14/02/2021	06:16	19:16									
15/02/2021	06:17	19:15									
16/02/2021	06:17	19:14									
17/02/2021	06:18	19:13									
18/02/2021	06:19	19:12									
19/02/2021	06:19	19:12									
20/02/2021	06:20	19:11									
21/02/2021	06:21	19:10									
22/02/2021	06:21	19:09									
23/02/2021	06:22	19:08									
24/02/2021	06:22	19:07									
25/02/2021	06:23	19:06									
26/02/2021	06:24	19:05									
27/02/2021	06:24	19:04									
28/02/2021	06:25	19:03									
01/03/2021	06:25	19:03									
02/03/2021	06:26	19:02									
03/03/2021	06:27	19:01									
04/03/2021	06:27	19:00									
05/03/2021	06:28	18:59									
06/03/2021	06:28	18:58									
07/03/2021	06:29	18:57									
08/03/2021	06:29	18:55									
09/03/2021	06:30	18:54									
10/03/2021	06:30	18:53									
11/03/2021	06:31	18:52									
12/03/2021	06:31	18:51									
13/03/2021	06:32	18:50									
14/03/2021	06:32	18:49									
15/03/2021	06:33	18:48									
16/03/2021	06:33	18:47									
17/03/2021	06:34	18:46									
18/03/2021	06:34	18:45									
19/03/2021	06:35	18:44									
20/03/2021	06:35	18:43									
21/03/2021	06:36	18:42									
22/03/2021	06:36	18:40									
23/03/2021	06:36	18:39									
24/03/2021	06:37	18:38									
25/03/2021	06:37	18:37									
26/03/2021	06:38	18:36									
27/03/2021	06:38	18:35									
28/03/2021	06:39	18:34									
29/03/2021	06:39	18:33									
30/03/2021	06:40	18:32									
31/03/2021	06:40	18:31									
01/04/2021	06:41	18:30									
02/04/2021	06:41	18:29									
03/04/2021	06:42	18:28									
04/04/2021	06:42	18:26									
05/04/2021	06:42	18:25									
06/04/2021	06:43	18:24									
07/04/2021	06:43	18:23									
08/04/2021	06:44	18:22									
09/04/2021	06:44	18:21									
10/04/2021	06:45	18:20									
11/04/2021	06:45	18:19									
12/04/2021	06:46	18:18									
13/04/2021	06:46	18:17									
14/04/2021	06:47	18:16									
15/04/2021	06:47	18:15									
16/04/2021	06:48	18:14									
17/04/2021	06:48	18:13									
18/04/2021	06:49	18:13									
19/04/2021	06:49	18:12									
20/04/2021	06:50	18:11									
21/04/2021	06:50	18:10									
22/04/2021	06:51	18:09									
23/04/2021	06:51	18:08									
24/04/2021	06:52	18:07									
25/04/2021	06:52	18:06									
26/04/2021	06:53	18:06									
27/04/2021	06:53	18:05									
28/04/2021	06:54	18:04									
29/04/2021	06:54	18:03									
30/04/2021	06:55	18:02									
01/05/2021	06:55	18:02									
02/05/2021	06:56	18:01									
03/05/2021	06:56	18:00									
04/05/2021	06:57	17:59									
05/05/2021	06:57	17:59									
06/05/2021	06:58	17:58									
07/05/2021	06:59	17:57									
08/05/2021	06:59	17:57									
09/05/2021	07:00	17:56									
10/05/2021	07:00	17:56									
11/05/2021	07:01	17:55									
12/05/2021	07:01	17:55									
13/05/2021	07:02	17:54									
14/05/2021	07:02	17:53									
15/05/2021	07:03	17:53									
16/05/2021	07:03	17:52									
17/05/2021	07:04	17:52									
18/05/2021	07:04	17:52									
19/05/2021	07:05	17:51									
20/05/2021	07:06	17:51									
21/05/2021	07:06	17:50									
22/05/2021	07:07	17:50									
23/05/2021	07:07	17:50									
24/05/2021	07:08	17:49									
25/05/2021	07:08	17:49									
26/05/2021	07:09	17:49									
27/05/2021	07:09	17:48									
28/05/2021	07:10	17:48									
29/05/2021	07:10	17:48									
30/05/2021	07:11	17:48									
31/05/2021	07:11	17:48									
01/06/2021	07:12	17:47									
02/06/2021	07:12	17:47									
03/06/2021	07:12	17:47									
04/06/2021	07:13	17:47									
05/06/2021	07:13	17:47									
06/06/2021	07:14	17:47									
07/06/2021	07:14	17:47									
08/06/2021	07:15	17:47									
09/06/2021	07:15	17:47									
10/06/2021	07:15	17:47									
11/06/2021	07:16	17:47									
12/06/2021	07:16	17:47									
13/06/2021	07:16	17:47									
14/06/2021	07:17	17:47									
15/06/2021	07:17	17:47									
16/06/2021	07:17	17:47									
17/06/2021	07:18	17:47									
18/06/2021	07:18	17:48									
19/06/2021	07:18	17:48									
20/06/2021	07:18	17:48									
21/06/2021	07:18	17:48									
22/06/2021	07:19	17:48									
23/06/2021	07:19	17:48									
24/06/2021	07:19	17:49									
25/06/2021	07:19	17:49									
26/06/2021	07:19	17:49									
27/06/2021	07:19	17:50									
28/06/2021	07:19	17:50									
29/06/2021	07:20	17:50									
30/06/2021	07:20	17:50									
01/07/2021	07:20	17:51									
02/07/2021	07:20	17:51									
03/07/2021	07:20	17:52									
04/07/2021	07:20	17:52									
05/07/2021	07:20	17:52									
06/07/2021	07:19	17:53									
07/07/2021	07:19	17:53									
08/07/2021	07:19	17:53									
09/07/2021	07:19	17:54									
10/07/2021	07:19	17:54									
11/07/2021	07:19	17:55									
12/07/2021	07:19	17:55									
13/07/2021	07:18	17:56									
14/07/2021	07:18	17:56									
15/07/2021	07:18	17:57									
16/07/2021	07:18	17:57									
17/07/2021	07:17	17:58									
18/07/2021	07:17	17:58									
19/07/2021	07:17	17:58									
20/07/2021	07:16	17:59									
21/07/2021	07:16	17:59									
22/07/2021	07:16	18:00									
23/07/2021	07:15	18:00									
24/07/2021	07:15	18:01									
25/07/2021	07:14	18:01									
26/07/2021	07:14	18:02									
27/07/2021	07:13	18:02									
28/07/2021	07:13	18:03									
29/07/2021	07:12	18:03									
30/07/2021	07:12	18:04									
31/07/2021	07:11	18:04									
01/08/2021	07:11	18:05									
02/08/2021	07:10	18:05									
03/08/2021	07:09	18:06									
04/08/2021	07:09	18:06									
05/08/2021	07:08	18:07									
06/08/2021	07:07	18:07									
07/08/2021	07:07	18:08									
08/08/2021	07:06	18:08									
09/08/2021	07:05	18:09									
10/08/2021	07:04	18:09									
11/08/2021	07:04	18:10									
12/08/2021	07:03	18:10									
13/08/2021	07:02	18:11									
14/08/2021	07:01	18:11									
15/08/2021	07:00	18:12									
16/08/2021	07:00	18:12									
17/08/2021	06:59	18:13									
18/08/2021	06:58	18:13									
19/08/2021	06:57	18:14									
20/08/2021	06:56	18:14									
21/08/2021	06:55	18:14									
22/08/2021	06:54	18:15									
23/08/2021	06:53	18:15									
24/08/2021	06:52	18:16									
25/08/2021	06:51	18:16									
26/08/2021	06:50	18:17									
27/08/2021	06:49	18:17									
28/08/2021	06:48	18:18									
29/08/2021	06:47	18:18									
30/08/2021	06:46	18:18									
31/08/2021	06:45	18:19									
01/09/2021	06:44	18:19									
02/09/2021	06:43	18:20									
03/09/2021	06:42	18:20									
04/09/2021	06:41	18:20									
05/09/2021	06:40	18:21									
06/09/2021	06:39	18:21									
07/09/2021	06:38	18:22									
08/09/2021	06:37	18:22									
09/09/2021	06:36	18:22									
10/09/2021	06:34	18:23									
11/09/2021	06:33	18:23									
12/09/2021	06:32	18:24									
13/09/2021	06:31	18:24									
14/09/2021	06:30	18:24									
15/09/2021	06:29	18:25									
16/09/2021	06:28	18:25									
17/09/2021	06:27	18:25									
18/09/2021	06:25	18:26									
19/09/2021	06:24	18:26									
20/09/2021	06:23	18:27									
21/09/2021	06:22	18:27									
22/09/2021	06:21	18:27									
23/09/2021	06:20	18:28									
24/09/2021	06:19	18:28									
25/09/2021	06:17	18:29									
26/09/2021	06:16	18:29									
27/09/2021	06:15	18:30									
28/09/2021	06:14	18:30									
29/09/2021	06:13	18:30									
30/09/2021	06:12	18:31									
01/10/2021	06:11	18:31									
02/10/2021	06:10	18:32									
03/10/2021	06:09	18:32									
